Year,Inflation,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities,goldman_Energy,goldman_Materials,goldman_Industrials,goldman_Consumer Discretionary,goldman_Consumer Staples,goldman_Health Care,goldman_Financials,goldman_Information Technology,goldman_Telecom Services,goldman_Utilities,S
1972,1.034063,1.167133,1.188099,1.1486589999999999,1.075303,1.113306,1.085653,1.107655,1.1486589999999999,1.077199,1.188099,1.188099,1.188099,1.3808120000000002,1.361774,1.3581,1.6364290000000001,1.49706,1.49706,1.49706,1.153103,1.140676,1.3592,1.49706,1.4838,1.4137,1.128781,1.0878619999999999,1.0321,1.055312,0.974052,1.055312,0.975497,1.0302,1.031227,1.037067,1.2295,1.0391,1.064,,0.9869,1.107,1.095,1.0977,2.0701,1.153,,1.032085,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,1.087059,0.817692,0.851637,0.9016029999999999,0.763224,0.8642380000000001,0.675819,0.7541599999999999,0.9016029999999999,0.842809,0.851637,0.851637,0.851637,0.850778,0.850235,0.8474,0.859939,0.859165,0.859165,0.859165,0.844801,1.028722,0.7372,0.859165,1.7253,1.7365,0.998689,1.014191,1.0144,1.032348,0.96008,1.032348,1.009381,1.0358,1.044554,1.068039,0.7663,0.6698,0.5997999999999999,,0.5753999999999999,0.8817,0.9651,0.75,0.7885,0.9206,,1.01439,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,1.123377,0.726837,0.733826,0.786182,0.735906,0.800204,0.723928,0.786853,0.786182,0.783962,0.768826,0.816826,0.755826,0.763171,0.767309,0.7653,0.7110730000000001,0.744543,0.744543,0.744543,0.778764,1.010482,0.7332000000000001,0.9857,1.6573,1.3848,1.008455,1.037779,0.9407,1.068291,1.0499,1.068291,1.048131,1.0439,1.066254,1.079029,0.6739999999999999,0.6715,0.6607000000000001,,0.7231,0.8227,0.9357,0.832,0.7885,0.77,,0.940727,,,,,0.816826,0.755826,0.785826,0.669826,0.655826,0.768826,0.816826,0.757826,0.642826,0.927826,0.749826,1.022,1.052,0.9359999999999999,0.922,1.035,1.083,1.024,0.909,1.194,1.016,
1975,1.069364,1.384784,1.369808,1.4056739999999999,1.484382,1.567746,1.546499,1.530268,1.4056739999999999,1.1899060000000001,1.342808,1.102808,1.237808,1.364199,1.352782,1.366,1.493076,1.437257,1.437257,1.437257,1.233479,1.338714,1.5412,0.8047,0.7501,0.8216,1.1423320000000001,1.109563,1.1662,1.08127,1.161677,1.08127,1.081155,1.0672,1.081571,1.057049,1.3267,1.4138,1.5619,,1.7448000000000001,1.2518,1.1746,1.545,1.2639,1.4353,,1.166199,,,,,1.102808,1.237808,1.460808,1.362808,1.6928079999999999,1.342808,1.102808,1.436808,1.334808,1.252808,1.5288080000000002,0.868,1.091,0.993,1.323,0.973,0.733,1.067,0.965,0.883,1.159,
1976,1.048649,1.2649759999999999,1.237021,1.332225,1.366702,1.463703,1.455276,1.553697,1.332225,1.472172,1.127021,1.018021,1.349021,1.029934,1.024078,1.0363,1.110491,1.069471,1.069471,1.069471,1.361613,1.043745,1.0312,0.8847,0.9566,0.8742,1.102966,1.106688,1.1926,1.115216,0.997006,1.115216,1.168689,1.1137,1.086173,1.050055,1.1480000000000001,1.2637,1.3627,,1.54,1.2336,1.2328000000000001,1.464,1.2132,0.9336,,1.192583,1.123553,,,,1.018021,1.349021,1.229021,1.327021,1.178021,1.127021,1.018021,1.347021,1.252021,1.349021,1.340021,1.112,0.992,1.09,0.941,0.89,0.781,1.11,1.015,1.112,1.103,
1977,1.06701,0.95647,0.920527,0.965741,1.010399,1.048288,1.154315,1.157856,0.965741,1.220826,0.953527,0.903527,0.973527,1.22705,1.179938,1.221,1.734383,1.501047,1.501047,1.501047,1.222382,0.870552,1.1272,1.1997,1.2233,1.0955,1.093506,1.048224,1.0309,1.028355,1.077844,1.028355,0.997486,1.0257,1.037163,1.050055,0.911,0.9761,1.1505,,1.2218,0.9562,1.0427,1.01,1.134,1.2358,,1.030911,1.04614,,,,0.903527,0.973527,0.763527,0.958527,0.843527,0.953527,0.903527,0.885527,0.945527,1.016527,1.094527,1.053,0.843,1.038,0.923,1.033,0.983,0.965,1.025,1.096,1.174,
1978,1.090177,1.073283,1.059,1.060222,1.086128,1.087879,1.172726,1.183834,1.060222,1.10014,1.048,1.085,1.111,1.35452,1.324808,1.343,1.649198,1.530948,1.530948,1.530948,1.163735,1.208974,1.2382,1.3657,1.3667,1.3063,1.101499,1.053783,1.0029,1.020367,1.096806,0.954648,0.983628,1.0168,1.036337,1.071036,1.0674,1.0844,1.1619,,1.272,1.0532,1.0361,1.088,1.4838,1.2398,,1.002867,1.031832,,,,1.085,1.111,1.006,1.092,0.997,1.048,1.085,1.051,1.138,1.054,0.94,1.052,0.947,1.033,0.938,0.989,1.026,0.992,1.079,0.995,0.881,
1979,1.132939,1.228035,1.18,1.202355,1.322355,1.29678,1.428144,1.351297,1.202355,1.355476,1.04,1.23,1.449,1.042407,1.047058,1.0346,0.988542,1.022625,1.022625,1.022625,1.277208,1.032504,1.3852,1.9377,2.3128,1.3282,1.05816,1.062108,0.9782,1.064297,1.097804,0.984295,0.992666,1.0171,1.062141,1.103007,1.2363,1.33,1.505,,1.4053,1.1354,1.062,1.226,0.9627,1.1440000000000001,,0.978196,1.05199,1.05464,,,1.23,1.449,1.32,1.2,1.087,1.04,1.23,1.179,1.05,0.991,1.141,1.269,1.1400000000000001,1.02,0.907,0.86,1.05,0.999,0.87,0.811,0.961,
1980,1.125163,1.32488,1.319,1.241269,1.322355,1.173643,1.383234,1.251497,1.241269,1.240774,1.1480000000000001,1.307,1.739,1.229595,1.224898,1.1895,1.349606,1.2638289999999999,1.2638289999999999,1.2638289999999999,1.237979,1.279638,1.5182,1.4027,1.1228,1.1026,1.099127,1.080827,0.9964,1.064297,1.151697,0.896504,0.968675,1.024,1.068831,1.111999,1.3929,1.4508,1.52,,1.2974,1.2258,1.1188,1.226,1.3603,1.142,,0.996411,1.075914,1.033908,,,1.307,1.739,1.2730000000000001,1.397,1.175,1.1480000000000001,1.307,1.169,1.168,1.029,1.164,1.42,0.954,1.078,0.856,0.829,0.988,0.85,0.849,0.71,0.845,
1981,1.089224,0.961462,0.948,1.010776,1.021956,1.09846,1.017964,1.146707,1.010776,1.057251,1.172,1.031,0.761,0.996208,0.98911,1.0569,0.99731,1.04256,1.04256,1.04256,1.04199,1.629397,0.8872,1.0017,0.6722999999999999,0.7642,1.089961,1.095228,1.0288,1.10623,1.057884,0.926014,1.001742,1.0436,1.101741,1.145969,0.8851,0.9805,0.9062,,1.0775,1.029,1.0867,1.168,1.0803,0.8936999999999999,,1.028799,1.113172,1.094315,,,1.031,0.761,0.91,0.875,1.058,1.172,1.031,1.102,0.843,1.3439999999999999,1.086,0.813,0.962,0.927,1.11,1.224,1.083,1.154,0.895,1.396,1.138,
1982,1.038298,1.20607,1.209,1.197366,1.230539,1.292604,1.246507,1.282435,1.197366,1.212847,1.369,1.213,0.871,0.988525,0.990109,0.9894,0.996712,0.985747,0.985747,0.985747,1.156766,1.398066,0.8422000000000001,1.3777,1.1556,1.1073,1.201659,1.22565,1.3911,1.251997,0.922156,1.31065,1.4148020000000001,1.3516,1.2389459999999999,1.104006,1.2024,1.2024,1.2076,,1.2759,1.2455,1.233,1.217,0.935,1.0543,,1.3910529999999999,1.2511670000000001,1.274986,,,1.213,0.871,1.089,1.217,1.479,1.369,1.213,1.2389999999999999,1.5350000000000001,1.135,1.284,0.662,0.88,1.008,1.27,1.16,1.004,1.03,1.326,0.9259999999999999,1.075,
