,name,sector,sector_code,ticker
1000045,Nicholas Financial Inc,Finance and Insurance,52.0,NICK
1000180,Sandisk Corp,Manufacturing,33.0,SNDK
1000209,Medallion Financial Corp,Finance and Insurance,52.0,TAXI
1000228,Henry Schein Inc,Retail Trade,44.0,HSIC
1000229,Core Laboratories N V,Construction,23.0,CLB
1000230,Optical Cable Corp,Manufacturing,33.0,OCCF
1000232,Kentucky Bancshares Inc /KY/,Finance and Insurance,52.0,KTYB
1000278,Pacifichealth Laboratories Inc,Manufacturing,32.0,PHLI
1000298,Impac Mortgage Holdings Inc,Finance and Insurance,52.0,IMH
1000459,Green Energy Group Inc.,Information,51.0,ECEC
1000623,Schweitzer Mauduit International Inc,Manufacturing,32.0,SWM
1000683,Blonder Tongue Laboratories Inc,Manufacturing,33.0,BDR
1000694,Novavax Inc,Manufacturing,32.0,NVAX
1000697,Waters Corp /DE/,Manufacturing,33.0,WAT
1000753,"Insperity, Inc.",Administrative and Support and Waste Management and Remediation Services,56.0,NSP
1000955,"Southcorp Capital, Inc.",Real Estate and Rental and Leasing,53.0,
1001039,Walt Disney CO/,Information,51.0,DIS
1001082,Dish Network Corp,Information,51.0,DISH
1001115,Geospace Technologies Corp,Manufacturing,33.0,OYOG
1001171,Broadway Financial Corp \DE\,Finance and Insurance,52.0,BYFC
100122,Tucson Electric Power CO,Utilities,22.0,
1001233,"Sangamo Therapeutics, Inc",Manufacturing,32.0,SGMO
1001250,Estee Lauder Companies Inc,Manufacturing,32.0,EL
1001258,Asta Funding Inc,Finance and Insurance,52.0,ASFI
1001279,Internet America Inc,Information,51.0,GEEK
1001288,Lexmark International Inc /KY/,Manufacturing,33.0,LXK
1001316,"TG Therapeutics, Inc.",Manufacturing,32.0,TGTX
1001385,Northwest Pipe CO,Manufacturing,33.0,NWPX
1001426,Pericom Semiconductor Corp,Manufacturing,33.0,PSEM
1001463,"Acacia Diversified Holdings, Inc.",Wholesale Trade,42.0,ACCA
1001601,MGT Capital Investments Inc,Real Estate and Rental and Leasing,53.0,MSHT
1001604,Emeritus Corp\Wa\,Health Care and Social Assistance,62.0,ESC
1001606,Blount International Inc,Manufacturing,33.0,BLT
1001614,Tengasco Inc,"Mining, Quarrying, and Oil and Gas Extraction",21.0,TGC
1001838,Southern Copper Corp/,"Mining, Quarrying, and Oil and Gas Extraction",21.0,SCCO
1001871,Investors Capital Holdings LTD,Finance and Insurance,52.0,ICH
1001902,Intevac Inc,Manufacturing,33.0,IVAC
1001907,Astrotech Corp,Manufacturing,33.0,ASTC
1002037,"Learning Tree International, Inc.",Educational Services,61.0,LTRE
1002047,"Netapp, Inc.",Manufacturing,33.0,NTAP
1002135,Westell Technologies Inc,Manufacturing,33.0,WSTL
1002225,Advent Software Inc /DE/,"Professional, Scientific, and Technical Services",54.0,ADVS
1002360,"Absolute Potential, Inc.",Manufacturing,32.0,ABWS
1002388,"Accelrys, Inc.",Information,51.0,ACCL
1002390,"America'S Suppliers, Inc.",Information,51.0,INSG
1002422,"Ceres Ventures, Inc.",Health Care and Social Assistance,62.0,PYTO
1002517,"Nuance Communications, Inc.",Information,51.0,NUAN
1002519,Cronos Global Income Fund XVI LP,Administrative and Support and Waste Management and Remediation Services,56.0,
1002531,Tollgrade Communications Inc \PA\,Information,51.0,TLGD
1002590,Star GAS Partners LP,Retail Trade,45.0,SGU
1002638,Open Text Corp,"Professional, Scientific, and Technical Services",54.0,
1002761,Americredit Financial Services Inc,Finance and Insurance,52.0,
1002811,Kensey Nash Corp,Manufacturing,33.0,KNSY
1002822,First American Scientific Corp.,Manufacturing,32.0,FASC
1002910,Ameren Corp,Utilities,22.0,AEE
1003022,Zoran Corp \DE\,Manufacturing,33.0,ZRAN
1003078,MSC Industrial Direct CO Inc,Wholesale Trade,42.0,MSM
1003124,Pharmaceutical Product Development Inc,"Professional, Scientific, and Technical Services",54.0,PPDI
1003130,LCA Vision Inc,Health Care and Social Assistance,62.0,LCAV
1003201,"MMA Capital Management, LLC",Real Estate and Rental and Leasing,53.0,MMAB
1003214,Silicon Image Inc,Manufacturing,33.0,SIMG
1003226,"First Physicians Capital Group, Inc.",Health Care and Social Assistance,62.0,VSCE
1003344,Headwaters Inc,Manufacturing,32.0,HW
1003410,Duke Realty Limited Partnership/,Real Estate and Rental and Leasing,53.0,
1003509,American Express Credit Account Master Trust,Finance and Insurance,52.0,
1003642,Impax Laboratories Inc,Manufacturing,32.0,IPXL
100378,Twin Disc Inc,Manufacturing,33.0,TWIN
1003815,Bctc IV Assignor Corp,Real Estate and Rental and Leasing,53.0,
1003950,Performance Technologies Inc \DE\,Manufacturing,33.0,PTIX
1003961,Patapsco Bancorp Inc,Finance and Insurance,52.0,PATD
1003986,Taylor Calvin B Bankshares Inc,Finance and Insurance,52.0,TYCB
1004036,Tanger Properties LTD Partnership /NC/,Finance and Insurance,52.0,
100412,250 West 57th ST Associates L.L.C.,"Arts, Entertainment, and Recreation",71.0,
1004125,KSW Inc,Wholesale Trade,42.0,KSWW
1004155,Southern CO GAS,Utilities,22.0,GAS
1004158,GS Mortgage Securities Corp II,Finance and Insurance,52.0,
1004411,Gilla Inc.,Manufacturing,31.0,OSGL
1004434,"Affiliated Managers Group, Inc.",Finance and Insurance,52.0,AMG
1004440,Constellation Energy Group Inc,Utilities,22.0,CEG
1004608,Pinnacle Data Systems Inc,"Professional, Scientific, and Technical Services",54.0,PNS
1004673,Entertainment Gaming Asia Inc.,Manufacturing,33.0,VNX
1004702,Oceanfirst Financial Corp,Finance and Insurance,52.0,OCFC
1004724,"Adcare Health Systems, Inc",Health Care and Social Assistance,62.0,ADK
10048,Barnwell Industries Inc,"Mining, Quarrying, and Oil and Gas Extraction",21.0,BRN
100493,Tyson Foods Inc,Manufacturing,31.0,TSN
1004980,Pg&E Corp,Utilities,22.0,PCG
1004988,Chase Credit Card Master Trust,Finance and Insurance,52.0,
1004989,Spar Group Inc,Other Services (except Public Administration),81.0,SGRP
1005010,Arthrocare Corp,Manufacturing,33.0,ARTC
1005101,Concierge Technologies Inc,Other Services (except Public Administration),81.0,CNCG
100517,"United Continental Holdings, Inc.",Transportation and Warehousing,48.0,UAL
1005177,ML Trend-Following Futures Fund L.P.,Finance and Insurance,52.0,
1005188,North Central Bancshares Inc,Finance and Insurance,52.0,FFFD
1005201,Depomed Inc,Manufacturing,32.0,DEPO
1005210,Suburban Propane Partners LP,Retail Trade,45.0,SPH
1005214,American Wagering Inc,"Arts, Entertainment, and Recreation",71.0,BETM
1005229,Columbus Mckinnon Corp,Manufacturing,33.0,CMCO
1005276,Mohegan Tribal Gaming Authority,Accommodation and Food Services,72.0,
1005284,Universal Display Corp \PA\,Manufacturing,33.0,PANL
1005286,Landec Corp \CA\,Manufacturing,32.0,LNDC
1005409,Dime Community Bancshares Inc,Finance and Insurance,52.0,DCOM
1005414,Toys R US Inc,Retail Trade,45.0,TOY
100548,UGI Utilities Inc,Utilities,22.0,
1005663,"Euro Group OF Companies, Inc.",Retail Trade,45.0,ICTT
1005699,Magicjack Vocaltec LTD,Information,51.0,CALL
1005731,IDT Corp,Information,51.0,IDT
1005757,CSG Systems International Inc,Information,51.0,CSGS
