,oil,inflation,interest,stdev_,avg_return,median_return
Total US,0.37542375010032397,-0.027982177328298167,-0.3506058844394918,2.0306519597091905,-0.17857827507692295,0.20500000000000185
USL Value,0.11719986928218179,0.23114507811798266,0.12063598505160217,5.622787836897165,0.27132163099999995,-0.2393324699999999
US Mid,0.30762625971299706,0.13260317785878512,-0.17771359356456187,8.784135928700735,1.647769077653846,0.03500000000000014
USM Value,0.15904421666922208,0.11117747920490366,-0.07443602767382076,11.73409896612016,2.9735743529999996,0.5106123000000036
US Small,0.3285070164364854,0.006068508301644759,-0.2962956457096061,10.886781635480688,-0.05166666661538493,1.5050000000000008
USS Value,0.12412261900904377,0.11479976046548192,-0.040000893879212955,14.158160079517103,1.9145033009999997,1.124261474999999
US Dividend Appreciation,0.09429736523229754,0.18189455714921207,0.15763208518852279,6.3051929419709705,0.47811977253846155,-0.1793324700000003
US REIT,0.13464591952969843,0.13861823297620623,-0.1035547983004903,18.3797585986854,1.9760283264230774,4.795
US Consumer Staples,-0.2999180376437027,-0.08383844836913895,0.238131767912767,10.354186139691743,1.7288461538461537,1.9700000000000006
US Health Care,-0.2022818612820585,-0.14853706139431058,0.09468291830172662,15.528391076548322,2.2739680025000006,3.050126884999999
US Energy,0.5783037681117007,0.40672931375997184,0.00011887842958302837,18.252824337160572,-1.0693011626923083,-0.7050000000000001
Total International,0.06085434203458221,0.2214125560544693,0.140393433674155,18.67982376224681,-0.03767334876923183,-0.9888245860000011
International Developed,0.025862557317878496,0.1685912281241657,0.15220850029261335,17.68375067568693,-0.16533811861538453,0.0814886600000001
International Developed Value,0.07420029375437848,0.25667745330362735,0.15155643419508003,18.889457430005766,0.6749999999999989,-0.9050000000000002
International Developed Small,0.31690501643122243,0.2766478913576957,0.08991668846609581,26.19598939518277,4.951818501999999,5.68926422
Emerging Markets,0.18532073171694552,0.3083533526311678,0.03952759370725484,29.97983882507497,3.115644987115383,3.6703981880000005
Emerging Small Cap,0.1892293077959309,0.28473015564920584,-0.009620466097388045,31.75192017969197,4.185749947115382,6.178869303000001
Frontier Markets,0.2157175635549555,0.2694089147156074,0.014043451504653592,28.187382896063664,3.647376920846154,3.6703981880000005
Global REIT,0.2123478405703281,0.27922064265726687,0.002169769163804754,17.3204537062454,0.2655888161923079,1.7927606495000004
Sweden,0.37405074895355545,0.14076351430555167,-0.013793296523241932,23.275467777044152,4.919348933153847,-5.567799194000001
Australia,0.17113889810525362,0.19478395822167452,0.047547393152515924,22.54955095706229,0.9272067843846148,-4.501298799999999
South Africa,0.2564007297996707,0.12863594938853948,0.05687291157751184,25.876600006741732,1.748287518307693,0.9858571250000012
Gold,0.007392766381814654,-0.12623138343797805,-0.22779442025266353,25.535203730114656,-9.068461538461536,-8.18
Commodities,0.6519487358874022,0.4959164338952743,0.06081501419590257,27.351750555705543,-9.107692307692307,-9.564999999999998
Emerging Market Bonds,0.16089112209701226,0.0802958367189707,0.049377316918717995,18.639966559243717,-1.3084672871538467,-0.45797168999999993
International Bonds,-0.231622319688574,-0.10371857812884261,0.09975278824810216,17.396390897338353,-4.706356474653844,-6.449999999999999
Corporate Bonds,-0.19103049784329357,-0.053998418562751026,0.05431816009430813,16.41069826011725,-3.275769230769232,-4.6450000000000005
US Bonds,-0.21363632267992372,-0.11176441481121846,0.10188933949565548,17.97169079526052,-5.08446792826923,-7.125
TIPS,-0.10357940997126713,-0.021012113383653493,0.046019145045649336,19.346727297140603,-4.487811300076922,-3.756866265
Intermediate Municipal Bonds,-0.22062420450834042,-0.11142818399342247,0.040634620830671826,17.376023589283694,-5.48748923076923,-6.88729
Long Term Treasuries,-0.2552448837300517,-0.17628108715169083,0.09100993663344785,23.731602223882355,-2.389240032346154,-4.800050000000001
Intermediate Treasuries,-0.22852469292563632,-0.15102556522309704,0.12047661179735117,20.061998443287287,-4.628461538461537,-7.45
Short Term Treasuries,-0.2081799777226704,-0.10789162627830434,0.12654789917744247,18.428656496333534,-6.558229431461539,-10.99
Treasury Bills,-0.1824738963512218,-0.0807934757102414,0.09235385331123609,17.723088236224,-8.433713965115386,-12.3289159755
US Large Cap Growth,-0.06874660257197925,-0.26778855125603246,-0.19175419647230665,5.410781317105549,-0.23230769230769185,-0.030000000000001137
US Mid Cap Growth,0.4749339938350675,0.03549620981617305,-0.23732884168957177,12.690800599101454,0.05961538461538423,-1.0099999999999998
US Small Cap Growth,0.37837364915726773,-0.05362171141877108,-0.4452720460934505,11.650578381152783,-2.1438461538461535,-1.4750000000000014
