,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities
1972-12-31,16.71325879,18.80990415,14.865917,7.530307124,11.33062737,8.565326602,10.76550731,14.865917,7.719928187000001,18.80990415,18.80990415,18.80990415,38.08122131,36.1774403,35.81,63.6429461,49.7059703,49.7059703,49.7059703,15.31025147,14.06764092,35.92,49.7059703,48.38,41.37,12.87813858,8.786157275,3.21,5.53115016,-2.594810379,5.53115016,-2.450348787,3.02,3.122725661,3.706664002,22.95,3.91,6.4,,-1.31,10.7,9.5,9.77,107.01,15.3,,3.208517834,,,,,,,,,,,,,,,
1973-12-31,-18.23083067,-14.83626198,-9.839705336,-23.67755609,-13.5762364,-32.41808835,-24.58395557,-9.839705336,-15.71913026,-14.83626198,-14.83626198,-14.83626198,-14.92217122,-14.97652113,-15.26,-14.00605759,-14.08352437,-14.08352437,-14.08352437,-15.5198905,2.872245249,-26.28,-14.08352437,72.53,73.65,-0.131140179,1.419124731,1.44,3.2348242810000003,-3.992015968,3.2348242810000003,0.938123752,3.58,4.455444276000001,6.803876511,-23.37,-33.02,-40.02,,-42.46,-11.83,-3.49,-25.0,-21.15,-7.94,,1.438992705,,,,,,,,,,,,,,,
1974-12-31,-27.31629393,-26.61741214,-21.38181667,-26.40937619,-19.9796241,-27.60720686,-21.31465565,-21.38181667,-21.60383004,-23.11741214,-18.31741214,-24.41741214,-23.68289763,-23.26905785,-23.47,-28.89270698,-25.54569919,-25.54569919,-25.54569919,-22.12359694,1.04817247,-26.68,-1.43,65.73,38.48,0.845518815,3.777876371,-5.93,6.829073482,4.99001996,6.829073482,4.813114526000001,4.39,6.625432916,7.902887401,-32.6,-32.85,-33.93,,-27.69,-17.73,-6.43,-16.8,-21.15,-23.0,,-5.927342339,,,,,-18.31741214,-24.41741214,-21.41741214,-33.01741214,-34.41741214,-23.11741214,-18.31741214,-24.21741214,-35.71741214,-7.217412141,-25.01741214
1975-12-31,38.4784345,36.98083067,40.56744372,48.43823069,56.77459019,54.64994206,53.02677366,40.56744372,18.99062438,34.28083067,10.28083067,23.78083067,36.41987627,35.27824958,36.6,49.30756202,43.72570517,43.72570517,43.72570517,23.34793735,33.87139388,54.12,-19.53,-24.99,-17.84,14.23322679,10.95628475,16.62,8.126996805,16.16766467,8.126996805,8.115533196,6.72,8.15709971,5.7048656210000015,32.67,41.38,56.19,,74.48,25.18,17.46,54.5,26.39,43.53,,16.61991482,,,,,10.28083067,23.78083067,46.08083067,36.28083067,69.28083067,34.28083067,10.28083067,43.68083067,33.48083067,25.28083067,52.88083067
1976-12-31,26.49760383,23.70207668,33.22247896,36.67022347,46.37025560000001,45.52758051,55.36965418,33.22247896,47.21723519,12.70207668,1.802076677,34.90207668,2.993414488,2.40783295,3.63,11.04911826,6.947074654,6.947074654,6.947074654,36.16128001,4.374458287,3.12,-11.53,-4.34,-12.58,10.29658282,10.66875039,19.26,11.5215655,-0.29940119800000004,11.5215655,16.86889539,11.37,8.617342648,5.005495054,14.8,26.37,36.27,,54.0,23.36,23.28,46.4,21.32,-6.64,,19.25834126,12.35528942,,,,1.802076677,34.90207668,22.90207668,32.70207668,17.80207668,12.70207668,1.802076677,34.70207668,25.20207668,34.90207668,34.00207668
1977-12-31,-4.353035144,-7.947284345,-3.425890079,1.039884399,4.828821544,15.43149637,15.78557603,-3.425890079,22.08258528,-4.647284345,-9.647284345,-2.647284345,22.70504889,17.99380557,22.1,73.43827837,50.10465464,50.10465464,50.10465464,22.23820118,-12.94479042,12.72,19.97,22.33,9.55,9.350645104,4.822421822,3.09,2.835463259,7.784431137999999,2.835463259,-0.251445162,2.57,3.716265855,5.005495054,-8.9,-2.39,15.05,,22.18,-4.38,4.27,1.0,13.4,23.58,,3.091109197,4.614008792,,,,-9.647284345,-2.647284345,-23.64728435,-4.147284345,-15.64728435,-4.647284345,-9.647284345,-11.44728435,-5.447284345,1.652715655,9.452715655
1978-12-31,7.32827476,5.9,6.022191512000001,8.612765301,8.787935743,17.27258035,18.38342099,6.022191512000001,10.01396369,4.8,8.5,11.1,35.45200559,32.48076731,34.3,64.91979675,53.0947872,53.0947872,53.0947872,16.37347417,20.89739289,23.82,36.57,36.67,30.63,10.14991961,5.378267652000001,0.29,2.036741214,9.680638723,-4.53524,-1.637177086,1.68,3.633694227,7.1036067539999985,6.74,8.44,16.19,,27.2,5.32,3.61,8.8,48.38,23.98,,0.286682061,3.183176905,,,,8.5,11.1,0.6,9.2,-0.3,4.8,8.5,5.1,13.8,5.4,-6.0
1979-12-31,22.80351438,18.0,20.23548194,32.23552894,29.67802668,42.81437126,35.12974052,20.23548194,35.5475763,4.0,23.0,44.9,4.240670525,4.705764812,3.46,-1.145760685,2.262533639,2.262533639,2.262533639,27.72084986,3.250351255,38.52,93.77,131.28,32.82,5.815980804,6.210808267000001,-2.18,6.42971246,9.780439122,-1.57055,-0.73341339,1.71,6.214144881,10.30072934,23.63,33.0,50.5,,40.53,13.54,6.2,22.6,-3.73,14.4,,-2.180383159,5.198994683,5.46397,,,23.0,44.9,32.0,20.0,8.7,4.0,23.0,17.9,5.0,-0.9,14.1
1980-12-31,32.48801917,31.9,24.12692077,32.23552894,17.36427492,38.32335329,25.149700600000006,24.12692077,24.07739876,14.8,30.7,73.9,22.95948912,22.48975922,18.95,34.96064561,26.38293631,26.38293631,26.38293631,23.79792135,27.96379444,51.82,40.27,12.28,10.26,9.912714744,8.082690126000001,-0.36,6.42971246,15.16966068,-10.34959,-3.132461125,2.4,6.883116847,11.19992007,39.29,45.08,52.0,,29.74,22.58,11.88,22.6,36.03,14.2,,-0.358894681,7.591364196000002,3.39081,,,30.7,73.9,27.3,39.7,17.5,14.8,30.7,16.9,16.8,2.9,16.4
1981-12-31,-3.853833866,-5.2,1.0776292159999998,2.195608782,9.845974501,1.796407186,14.67065868,1.0776292159999998,5.725114702000001,17.2,3.1,-23.9,-0.379165835,-1.089019882,5.69,-0.269004683,4.255955347,4.255955347,4.255955347,4.199044568,62.93965232,-11.28,0.17,-32.77,-23.58,8.996103197,9.522786292000001,2.88,10.62300319,5.788423154,-7.3986,0.174212636,4.36,10.17408651,14.59686282,-11.49,-1.95,-9.38,,7.75,2.9,8.67,16.8,8.03,-10.63,,2.879876421,11.31721411,9.4315,,,3.1,-23.9,-9.0,-12.5,5.8,17.2,3.1,10.2,-15.7,34.4,8.6
1982-12-31,20.60702875,20.9,19.73657953,23.05389222,29.26042171,24.6506986,28.24351297,19.73657953,21.28465988,36.9,21.3,-12.9,-1.147475554,-0.989109801,-1.06,-0.32878350100000003,-1.425296521,-1.425296521,-1.425296521,15.67662602,39.80656873,-15.78,37.77,15.56,10.73,20.16593876,22.5649649,39.11,25.19968051,-7.784431137999999,31.06497,41.48023629,35.16,23.89460713,10.40063942,20.24,20.24,20.76,,27.59,24.55,23.3,21.7,-6.5,5.43,,39.10528411,25.1167242,27.49855,,,21.3,-12.9,8.9,21.7,47.9,36.9,21.3,23.9,53.5,13.5,28.4
1983-12-31,21.80511182,21.3,28.01835961,23.55289421,32.47860161,28.84231537,38.32335329,28.01835961,30.26132057,17.7,6.4,24.6,25.52384754,24.48796084,25.32,35.61821261,32.16385926,32.16385926,32.16385926,29.07695231,68.90130211,63.22,13.77,-17.17,15.39,12.01552901,9.776825649,9.2,8.02715655,16.86626747,6.49717,1.781630049,5.17,7.720868052999999,8.702168048999999,15.75,22.29,19.86,,35.88,23.57,18.6,30.1,26.09,22.08,,9.195120954,9.10626,15.09312,,,6.4,24.6,27.9,31.7,20.8,17.7,6.4,17.2,26.2,10.5,18.3
1984-12-31,4.333067093,6.21,9.858311714,1.19760479,2.625601978,-7.48502994,2.095808383,9.858311714,20.58647516,14.71,6.41,8.01,8.022350827999999,7.80297732,2.7,11.20852844,9.937207216000001,9.937207216000001,9.937207216000001,17.44544408,-9.862208164,0.02,8.77,-19.58,0.3,13.15083613,13.50790601,16.54,14.11741214,15.56886228,9.53248,14.56358134,13.15,12.36657067,9.701268857999999,-1.22,-5.95,-15.97,,-20.12,10.7,16.64,19.47,13.19,1.04,,16.54156321,14.22665,7.8586,,,6.41,8.01,-7.09,-0.79,3.71,14.71,6.41,10.61,-0.99,20.51,26.71
