Year,S&P 500
1976,1.237020767
1977,0.920527157
1978,1.059
1979,1.18
1980,1.319
1981,0.948
1982,1.209
1983,1.213
1984,1.0621
1985,1.3123
1986,1.1806
1987,1.0471
1988,1.1622
1989,1.3136
1990,0.9668
1991,1.3022
1992,1.0742
1993,1.0989
1994,1.0118
1995,1.3745
1996,1.2288
1997,1.3319
1998,1.2862
1999,1.2107
2000,0.9094
2001,0.8798
2002,0.7785
2003,1.285
2004,1.1074
2005,1.0477
2006,1.1564
2007,1.0539
2008,0.6298
2009,1.2649
2010,1.1491
2011,1.0197
2012,1.1582
2013,1.3218
2014,1.1351
2015,1.0125
