Year,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,Pacific,Europe,Precious Metals,US Corporate Bond
1972,22.95 ,3.91 ,6.40 ,107.01 ,15.30 ,,3.21 
1973,(23.37),(33.02),(40.02),(21.15),(7.94),,1.44 
1974,(32.60),(32.85),(33.93),(21.15),(23.00),,(5.93)
1975,32.67 ,41.38 ,56.19 ,26.39 ,43.53 ,,16.62 
1976,14.80 ,26.37 ,36.27 ,21.32 ,(6.64),,19.26 
1977,(8.90),(2.39),15.05 ,13.40 ,23.58 ,,3.09 
1978,6.74 ,8.44 ,16.19 ,48.38 ,23.98 ,,0.29 
1979,23.63 ,33.00 ,50.50 ,(3.73),14.40 ,,(2.18)
1980,39.29 ,45.08 ,52.00 ,36.03 ,14.20 ,,(0.36)
1981,(11.49),(1.95),(9.38),8.03 ,(10.63),,2.88 
1982,20.24 ,20.24 ,20.76 ,(6.50),5.43 ,,39.11 
1983,15.75 ,22.29 ,19.86 ,26.09 ,22.08 ,,9.20 
1984,(1.22),(5.95),(15.97),13.19 ,1.04 ,,16.54 
1985,32.61 ,32.85 ,30.74 ,39.03 ,79.33 ,(5.36),23.97 
1986,15.15 ,17.37 ,3.39 ,93.32 ,44.13 ,49.88 ,16.45 
1987,5.07 ,2.59 ,(10.68),39.49 ,3.83 ,38.73 ,2.49 
1988,11.06 ,12.67 ,20.16 ,34.84 ,16.10 ,(14.19),9.15 
1989,35.60 ,31.24 ,19.96 ,2.41 ,28.77 ,30.40 ,14.01 
1990,(0.52),(5.29),(17.56),(34.46),(3.65),(19.86),6.98 
1991,40.89 ,46.71 ,50.90 ,10.36 ,12.11 ,4.37 ,18.42 
1992,4.77 ,8.48 ,7.58 ,(18.17),(3.32),(19.41),8.62 
1993,1.53 ,10.98 ,13.17 ,35.46 ,29.13 ,93.36 ,12.08 
1994,2.89 ,(2.40),(2.59),13.04 ,1.88 ,(5.42),(4.00)
1995,38.06 ,33.73 ,30.74 ,2.75 ,22.28 ,(4.48),22.16 
1996,23.74 ,18.69 ,11.08 ,(7.82),21.26 ,(0.75),3.21 
1997,36.34 ,20.36 ,12.67 ,(25.67),24.23 ,(38.92),10.16 
1998,42.21 ,17.03 ,1.00 ,2.41 ,28.86 ,(3.91),8.50 
1999,28.76 ,70.19 ,19.56 ,57.05 ,16.62 ,28.82 ,(2.68)
2000,(22.21),(26.44),1.59 ,(25.74),(8.18),(7.34),10.21 
2001,(12.93),(20.59),(0.78),(26.34),(20.30),18.33 ,9.45 
2002,(23.68),(23.48),(15.41),(9.32),(17.95),33.35 ,11.19 
2003,25.92 ,39.98 ,42.88 ,38.42 ,38.70 ,59.45 ,8.89 
2004,7.20 ,13.59 ,16.06 ,18.83 ,20.86 ,8.09 ,5.91 
2005,5.09 ,14.79 ,8.64 ,22.59 ,9.26 ,43.79 ,1.21 
2006,9.01 ,9.45 ,11.94 ,11.99 ,33.42 ,34.30 ,4.26 
2007,12.56 ,17.07 ,9.63 ,4.78 ,13.82 ,36.13 ,4.30 
2008,(38.32),(47.07),(40.00),(34.36),(44.73),(56.02),(6.99)
2009,36.29 ,42.54 ,41.85 ,21.18 ,31.91 ,76.46 ,21.30 
2010,16.96 ,28.93 ,30.69 ,15.77 ,4.91 ,37.45 ,10.65 
2011,1.71 ,(3.84),(1.58),(14.00),(11.60),(21.70),7.94 
2012,16.89 ,15.81 ,17.52 ,15.49 ,20.80 ,(12.98),11.36 
2013,32.16 ,32.02 ,37.98 ,17.36 ,24.70 ,(35.13),(1.80)
2014,13.47 ,13.35 ,3.88 ,(4.69),(6.67),(11.41),7.47 
2015,3.17 ,(1.13),(2.64),2.25 ,(2.00),(29.42),0.88 
2016,5.99 ,6.62 ,10.61 ,5.19 ,(0.80),50.64 ,5.30 
