,oil,inflation,interest,stdev_,avg_return,median_return
Total US,0.13096105561780783,0.2803859373523392,-0.13430706090494612,2.2803948797447293,1.1291305340000004,1.2780830670000005
USL Value,-0.15139893545657718,-0.09968419780577734,-0.18606006803457145,5.791153741479129,0.47677550207142866,1.1788367260000001
US Mid,0.18228302373332902,0.19553776282790697,-0.08355199097346465,6.812402058447189,4.08665233157143,3.0268217705000007
USM Value,-0.1901863401128488,-0.07188683848676854,-0.056280251535128556,11.31928742464824,3.744148996714286,7.629750499999999
US Small,0.08572440353111083,0.3488028120148997,-0.09241619903774785,12.850056858909305,6.372353901857141,6.709880238
USS Value,-0.1905065579550394,0.1419572152593733,-0.023924627070790648,15.645773271089489,6.022893392142858,9.270339320000003
US Dividend Appreciation,-0.1281539775582314,-0.06401160836453144,-0.13384556557973945,5.404531645842052,0.3664983935000002,0.13109575600000056
US REIT,-0.10045280589596368,0.10806632800371868,-0.1852955477868983,16.15642843168721,3.5979112866428564,4.621029319999999
US Consumer Staples,-0.5795054484934963,-0.4771221525777082,0.30430162348232,12.964963717327185,4.5531994525,3.2513578275000015
US Health Care,-0.04425552117109852,0.04536521157180776,0.2747229751975783,10.752326147649091,2.487396874642858,2.5420951635000004
US Energy,0.8222165691467579,0.3749341465927997,-0.3566299145066076,22.613757669447317,6.733199452500002,5.2513578275
Total International,-0.13729104072468876,-0.029402314603114453,-0.40996482412985497,17.890855827952077,0.26010206100000033,-2.059838357499999
International Developed,-0.11475160220081163,0.024422075392934228,-0.37052231614810593,17.64196722618762,-2.1568344922142852,-2.649630330999999
International Developed Value,-0.17676058143988807,0.012080791914531808,-0.3250379162829946,18.76496320156381,-1.3785714285714286,-6.25
International Developed Small,-0.10333017771083823,0.09922651605479929,-0.39053616448445894,30.221667159706563,6.716809589500002,1.4103228050000012
Emerging Markets,-0.18486637188543112,-0.24238446981167935,-0.4842873525991612,25.261736868392767,14.807725434214285,18.734101965
Emerging Small Cap,-0.19550490738934034,-0.2458081159372002,-0.47949830978629354,25.312550010643854,14.914154005642857,19.889101965000002
Frontier Markets,-0.18486637188543112,-0.24238446981167935,-0.4842873525991612,25.261736868392767,14.807725434214285,18.734101965
Global REIT,-0.13188956447878447,0.08483751750761646,-0.2937666737951513,13.884968742048802,2.7634589805714307,4.6226014300000005
Sweden,-0.42872967181502997,-0.0170945112271272,0.4308758624901588,26.415713877703087,5.095283713928571,-4.349248254999999
Australia,0.44499252734905126,0.3779890948406558,-0.36002742501820767,18.668368359396425,2.8916943678571445,8.141864185000001
South Africa,0.5527685379833399,0.5312150696677153,0.04715431268092942,24.128081980444122,13.911265114285714,9.245208220000002
Gold,0.645795039834561,0.4835401158103335,-0.2084531759323864,40.33258993653906,2.3957142857142864,-2.684999999999999
Commodities,0.44239372535542487,0.14596462719595532,-0.2993018033414508,24.618941961357788,-0.3442857142857138,8.325000000000001
Emerging Market Bonds,-0.22859333192596687,-0.10454738795974212,-0.04958741188122983,12.447283751745063,-3.115111705785714,-2.4616204249999987
International Bonds,-0.1889655745667381,-0.014565845089274079,0.096305607700164,13.14305837473329,-5.618522182214285,-4.295
Corporate Bonds,-0.450416929914849,-0.39157777277265604,0.06598857044023465,13.688582332138571,-4.793571428571428,-5.024999999999999
US Bonds,-0.24258522318882872,-0.11412516639544623,0.1623440169379697,12.203353777575371,-4.569580100499999,-6.366629393
TIPS,0.05724085465721049,0.17719838884735256,-0.11419293587236852,14.730782975405294,-6.185189620999999,-5.1997804389999995
Intermediate Municipal Bonds,-0.31873031740517427,-0.4396722943571388,-0.14121216603959377,14.53830625770061,-8.32167366007143,-8.326709999999999
Long Term Treasuries,-0.3524187529747268,-0.4507512354105424,0.025250983774933726,14.038354228897656,-4.776440889071428,-6.949622305
Intermediate Treasuries,-0.3037612658249233,-0.26146921741662343,0.10437984468814417,13.562866645674568,-5.008571428571428,-7.54
Short Term Treasuries,-0.19185404050334834,-0.05036581229939235,0.15032419006995323,13.002127540939902,-5.244444042857142,-6.909396144999999
Treasury Bills,-0.03581709743412465,0.17243169313399126,0.13152468842946255,13.7766694435743,-5.873375106285715,-8.36963533
US Large Cap Growth,0.34893392683655805,0.23034873192948488,0.0497931665454032,5.955327516113269,0.7478571428571433,0.5800000000000001
US Mid Cap Growth,0.49401425754632233,0.39410025875830657,0.048211241449861775,7.277184578160388,4.8500000000000005,2.960000000000001
US Small Cap Growth,0.37285800180313877,0.5028445017138335,-0.12594494337149206,13.62625667155587,6.966428571428572,4.090000000000002
US Extended Market,-0.36361944624085524,-0.7069650309134139,-0.37880743247561316,7.607684711307814,3.806478941571965e-16,-1.0599999999999996
US Microcap,-0.08505420737450928,0.26339707752671654,-0.06489656065424697,18.787274276096433,5.118571428571428,5.3100000000000005
Wellington,-0.2902137835972895,-0.21591155048572766,0.08396085713354125,5.131505573469589,-0.784285714285714,-0.22499999999999964
Wellesley,-0.3914285823078268,-0.2671412628984209,0.04569056969703631,9.22209256127866,-1.8628571428571423,-1.79
Windsor,-0.25041336303395256,0.050651412264578005,0.08143195331550579,11.748155150939633,2.1557142857142866,1.8500000000000005
Pacific,-0.10412641658854749,0.1486634589502812,-0.2613245667402216,22.425737678826987,-1.2921428571428568,-1.4949999999999992
Europe,-0.0036677553481372564,-0.05660402258886181,-0.44135047726624344,16.562162955309965,-0.9557142857142854,-1.46
Precious Metals,0.6336711696075688,-0.36545996884688575,-0.7486647402641462,27.84625998654209,2.0942857142857148,-0.9600000000000009
US Corporate Bond,-0.45045687149629593,-0.39161118495163244,0.0659561260727003,13.687776776690765,-4.79420851692857,-5.0274883395
US Short Term Total Bond,-0.2487517341494295,-0.08372236199723278,0.15629922138024732,12.700394413402705,-4.599326263857142,-5.993106547499999
US Junk Bonds,-0.4948170352835119,-0.31611434503021474,0.21609533603421882,13.248243017286066,-6.221660909090908,-2.6661899999999985
Long Term Municipal,0.3977420783110814,0.56111332021799,-0.16407573813160262,10.143245230670697,-6.4871428571428575,-3.9799999999999986
Short Term Municipal,0.4884894401326197,0.51421782833473,-0.21513177655477264,12.219377858061977,-9.245714285714286,-10.61
Vanguard Health Care,-0.06732169641687762,-0.007468156327617856,0.16601342239749514,10.311956284814396,3.313199452285715,2.0950000000000015
spdr_Energy,0.6174987781368136,0.24296939561585607,-0.40464958986525373,19.605224916151965,10.528913738214287,8.600000000000001
spdr_Materials,0.5690641929694756,0.1661782102343666,-0.1297437641325009,8.989019489354941,-2.756800547857143,-4.949999999999999
spdr_Industrials,0.30914140729621764,0.2759377290943695,-0.23232082997474582,5.0244207793403834,0.5074851667857144,-0.09999999999999964
spdr_Consumer Discretionary,-0.6533630418478525,-0.25779510150640367,0.461150079307817,11.98806173509794,-3.2639434049999996,-6.948642175
spdr_Consumer Staples,-0.5643222493736356,-0.45706665859966494,0.31555637230741573,13.062225511370581,4.364628023928572,3.2513578275000015
spdr_Health Care,-0.07179697054798503,0.055301306359545534,0.2946120493130284,10.677833164615892,2.336056595142858,1.4000000000000004
spdr_Financials,-0.47189132771731207,-0.20204534270322932,0.14612054656932483,12.1431282304303,-0.3639434050000003,1.1000000000000014
spdr_Information Technology,-0.19996860805348765,-0.13644482663447308,0.0032926524734820904,16.844038405836695,-4.613943404642858,-6.4
spdr_Telecom Services,-0.36821128584502943,-0.31293878720498175,0.08188912744665633,19.390469545791383,2.0503423096428572,2.1000000000000014
spdr_Utilities,-0.10654120125199122,-0.4716672807598528,-0.11531181177202862,9.897628076310598,3.3431994525000013,6.15
Argentina,-0.13792885742363412,-0.10364006361649336,-0.31527053549344125,121.61105896619266,45.93416666666667,9.23
Austria,-0.19295643264963822,0.12745468665346008,-0.2324390411251272,50.63306718250132,0.25384615384615283,7.28
Belgium,-0.21637894030867583,-0.3771757619558227,-0.5490921792880118,21.849910113728658,-5.617857142857141,-8.129999999999999
Chile,0.36672766528770767,0.8046919723812487,0.7924723437933063,2.6688761679778255,13.6,12.149999999999999
Germany,-0.20019177671258168,-0.37978071242970546,-0.47624216407397346,21.56821645359233,-1.6507142857142854,-2.7599999999999993
Denmark,0.042116140710790284,-0.30267527139436234,-0.3579157551839793,18.182933324568793,-0.03785714285714237,0.2650000000000001
East Asia & Pacific,0.7116117962013881,0.6337161165693233,0.000991196350140937,201.45910844725697,61.99818181818182,10.27
Spain,-0.09755500439800141,-0.3302165039578655,-0.2850204244794024,27.37752964650855,-7.9375,-0.15499999999999803
France,0.05755573114458351,-0.05605633274922575,-0.5323348959943213,29.12959151186902,-0.8235714285714261,5.605
"Hong Kong SAR, China",0.4719345724537286,0.32440441489187566,-0.2877312036376258,31.911597266666078,14.856428571428568,17.310000000000002
Indonesia,0.2442154858957581,0.5340796227107162,0.5419732742800024,301.76123358819086,180.48833333333334,50.975
India,0.38928454836151516,0.16063312601838062,-0.0776822792776117,53.78592938678294,23.87,32.42
Israel,-0.10402775626952147,0.18222362574542417,0.4982962495231863,45.547510591810735,29.541000000000004,34.315000000000005
Japan,0.6817261353294984,0.6086041122608433,0.09245499901201758,198.61839599737843,45.96857142857142,-6.134999999999999
Mexico,0.08260505002945656,-0.33285192610335446,-0.3758981462458635,64.74820399911577,15.669000000000002,8.05
New Zealand,-0.2850169057751747,-0.4907770937055602,-0.4232784763506685,37.238023171175044,37.233333333333334,45.355
Finland,-0.10676270746202206,0.045314388172508456,-0.2539435798005666,57.019797260866596,15.652142857142858,-8.249999999999998
