,oil_diff%_rolling_30,inflation,prime
oil_diff%_rolling_30,1.0,0.5326331438344871,0.06825385983983288
inflation,0.5326331438344871,1.0,0.5883108701910249
prime,0.06825385983983288,0.5883108701910249,1.0
Argentina,0.07049372696586531,0.1417715579507801,-0.01773162138539533
Australia,0.1764129561760393,0.06916565379033984,-0.08243616384943687
Austria,0.2288012195367085,0.13203809949795786,-0.021299042398952545
Belgium,-0.12909785659607784,-0.15902342421344645,-0.11590394836263
Chile,0.38786456926644786,0.3463551952575776,-0.22040295088479148
Germany,0.01788545260741078,-0.07288180413276393,0.010984264485165311
Denmark,0.060997805934274396,-0.035088942412725185,-0.032476062802600625
East Asia & Pacific,0.46561733445136205,0.5980159688854018,0.14314032416494976
Spain,0.030745148514499325,-0.10571466724291462,0.020746520682174047
France,0.0746649932178622,-0.005809787483892822,-0.03062057260942066
"Hong Kong SAR, China",0.34648486815849755,0.2642336217705325,-0.014973677769851711
Indonesia,0.29854625198012175,0.5464024231811393,0.32516147069422496
India,-0.013887906304386246,0.17004798630202492,0.0198559795231073
Israel,0.1506513274647803,0.29211299518546074,0.24533207193087136
Japan,0.43088973503736455,0.531778195004059,0.16712911980415013
Mexico,0.11191930386258456,-0.04625294781168962,-0.05754500351874413
New Zealand,0.23680707493243774,0.21161667971115955,0.17263491879689985
Sweden,0.004595882695219413,-0.23146103764737558,-0.10566123541814162
Finland,0.12986188806790677,0.16817381218789343,-0.0044144062091417595
