year,Argentina,Australia,Austria,Belgium,Chile,Germany,Denmark,East Asia & Pacific,Spain,France,"Hong Kong SAR, China",Indonesia,India,Israel,Japan,Kenya,"Korea, Rep.",Mexico,New Zealand,Sweden,Finland
1975,,,1300010000,9000100000,,51400310000,4099990000,,33199890000,35299950000,8100040000,,,,141799090000,,,470000000,,2200010000,
1976,,,1500040000,9400050000,,53399790000,4800040000,,24000000000,27399770000,11700010000,,,,180900950000,,,800000000,,2600010000,
1977,832500000,,1489940000,10291330000,,65101130000,4779990000,,,27928580000,10528310000,,,,21530430000,,,,,7600940000,
1978,1795400000,,17449440000,12507160000,,83691660000,5134510000,47128750000,17940860000,45382360000,12930600000,,,,34198150000,,,738000000,,10224760000,
1979,4319860000,38945170000,2080280000,13734380000,,79399940000,5189730000,369290680000,17389180000,55254080000,22220560000,,,2539520000,289123900000,,5391320000,1197000000,,10676110000,
1980,3954900000,59668510000,1956010000,10033090000,,71715670000,5543090000,506141270000,16564790000,54616100000,39013300000,,8161444074,4808410000,379212790000,,3828760000,1299000000,,12909710000,
1981,1396230000,54379650000,1583630000,8369180000,,62583380000,6172560000,565634210000,16677890000,38127490000,38980940000,,10528262856,6970150000,417943120000,,4224270000,1010000000,,17215760000,
1982,972900000,41525790000,1509680000,8565170000,,68953080000,5545320000,510636200000,11168140000,29645950000,21687340000,,14107872226,15917340000,417405180000,,4407720000,1720000000,,18596750000,2759400000
1983,1386290000,54036060000,1528150000,10779010000,,82869520000,10557000000,662053680000,10860470000,38139680000,19558170000,,17775919005,5096240000,545848260000,,4386800000,3030000000,,30244970000,4133730000
1984,1170700000,49939570000,1485690000,12342040000,,78368170000,7588100000,755771680000,13232270000,41058210000,23617550000,,17242641435,6120110000,644412020000,,6222380000,3660000000,,25674080000,
1985,2035830000,59400110000,4601560000,20871330000,,178283830000,15096330000,1093646030000,19509170000,79096030000,34593530000,,20001464065,7630000000,948262520000,,7380820000,3910000000,8785860000,37295710000,5854860000
1986,1590930000,119299960000,6656370000,37336820000,,257677250000,17361760000,2024403970000,48926060000,153541290000,53843770000,,28802108253,9884280000,1783639430000,,13924110000,5520000000,22215470000,63355090000,11692000000
