,oil,prime,inflation,oil_diff%_rolling_30
1972-12-31,4.259152536523347,5.25,3.4063260339999997,0.009451795841209795
1973-12-31,1.269760544863939,5.79,8.705882353,1.5900939368061482
1974-12-31,1.4609379041156565,9.75,12.33766234,0.6748374187093548
1975-12-31,2.412335956953165,10.5,6.936416185,0.1501202335967022
1976-12-31,2.412335956953165,7.26,4.864864865,0.18043367491366147
1977-12-31,2.631888840136646,6.35,6.701030928,0.13088287556480674
1978-12-31,2.6979998652487085,7.75,9.017713366,0.03036750930915665
1979-12-31,2.6979998652487085,11.55,13.29394387,0.7605633802816899
1980-12-31,3.481240089335692,15.3,12.51629726,0.3741562198649952
1981-12-31,3.610917912644224,20.35,8.922363847,-0.050801514230966974
1982-12-31,3.555348061489413,15.75,3.829787234,-0.11544497173432144
1983-12-31,3.456947396766647,11.5,3.790983607,-0.08745364014507283
1984-12-31,3.375537634881577,11.0,3.948667325,-0.15730097051216188
1985-12-31,3.2358902550273303,11.06,3.798670465,-0.20185196780275366
1986-12-31,3.304245855585705,9.5,1.0978957,-0.171656834334327
1987-12-31,2.7773274765869553,7.5,4.43438914,-0.09874896272097976
1988-12-31,2.847290268193714,8.75,4.419410745,0.04637292685339449
1989-12-31,2.7890770397445834,10.5,4.647302905,0.24616781792663106
1990-12-31,3.048704158320097,10.5,6.106264868999999,0.1923165115701374
1991-12-31,3.3082410959407906,10.0,3.064275037,-0.15684151577375394
1992-12-31,2.9712858806490647,7.21,2.900652647,-0.15846454521791686
1993-12-31,2.9656338257299577,6.0,2.7484143760000004,-0.23985202452744134
1994-12-31,2.6748380668960965,6.0,2.674897119,-0.019452877597850297
1995-12-31,2.8425810940598164,8.5,2.538410154,0.06643169019255654
1996-12-31,2.9465420293632194,8.65,3.32247557,0.25648961661341885
1997-12-31,3.234355395716587,8.25,1.702395965,-0.19207710159876232
1998-12-31,2.9079933592459843,8.5,1.611903286,-0.32261393883426576
1999-12-31,2.4230312460699133,7.75,2.684563758,0.5375332340240981
2000-12-31,3.2611687370584517,8.5,3.3868092689999996,0.2842071750047033
2001-12-31,3.3484995926617063,9.5,1.5517241380000002,-0.2743214825928157
2002-12-31,2.9616582932202395,4.84,2.3769100169999997,0.20771411810715668
2003-12-31,3.3816747151732915,4.25,1.8794914319999998,0.23025560022975305
2004-12-31,3.470412450683628,4.0,3.2555615839999996,0.32519780831219275
2005-12-31,3.7688452357518183,5.15,3.415659485,0.4100200170754983
2006-12-31,4.084799149378569,7.15,2.5406504069999998,-0.07046859829321876
2007-12-31,4.127618138985026,8.25,4.081268583,0.35024549918166925
2008-12-31,4.518849479521563,7.33,0.09141290099999999,-0.4830106106271417
2009-12-31,3.7140597526442343,3.61,2.7213311260000004,-0.03757659276029237
2010-12-31,4.308110951723712,3.25,1.4957235269999998,0.23140340327474546
2011-12-31,4.4890857069672885,3.25,2.962418845,0.1733079465160106
2012-12-31,4.5907669556773465,3.25,1.741022369,0.024329031490355958
2013-12-31,4.480173695813406,3.25,1.50173562,-0.0055527334512777094
2014-12-31,4.58118482323758,3.25,0.75649327,-0.4931609283820578
2015-12-31,4.0824406577192764,3.25,0.7295197859999999,-0.5757010263713598
2016-12-31,3.6160399079369783,3.37,1.69,0.0072135676463817985
