,oil,prime,inflation,oil_diff%_rolling_30
1976-12-31,2.412335956953165,7.26,4.864864865,18.043367491366148
1977-12-31,2.631888840136646,6.35,6.701030928,13.088287556480674
1978-12-31,2.6979998652487085,7.75,9.017713366,3.036750930915665
1979-12-31,2.6979998652487085,11.55,13.29394387,76.056338028169
1980-12-31,3.481240089335692,15.3,12.51629726,37.41562198649952
1981-12-31,3.6109179126442235,20.35,8.922363847,-5.080151423096697
1982-12-31,3.5553480614894135,15.75,3.829787234,-11.544497173432145
1988-12-31,2.847290268193714,8.75,4.419410745,4.637292685339449
1989-12-31,2.7890770397445834,10.5,4.647302905,24.616781792663105
1990-12-31,3.048704158320097,10.5,6.1062648689999985,19.23165115701374
1991-12-31,3.30824109594079,10.0,3.064275037,-15.684151577375394
2005-12-31,3.7688452357518174,5.15,3.415659485,41.00200170754983
2006-12-31,4.084799149378569,7.15,2.540650407,-7.0468598293218765
2007-12-31,4.127618138985026,8.25,4.081268583,35.024549918166926
