Date,price,dividend,earnings,CPI,date  ,interest,real price,real dividend,real earnings,cape10
1972.01,103.3,3.07,5.736669999999999,41.1,1972.0416670000002,5.95,635.0279532000001,18.87256356,35.265690299999996,17.2629968
1972.02,105.2,3.07,5.7733300000000005,41.3,1972.125,6.08,643.5762833,18.781171,35.31918502,17.46414761
1972.03,107.7,3.07,5.81,41.4,1972.2083329999998,6.07,657.2789221,18.73580586,35.45766516,17.80564385
1972.04,108.8,3.07,5.86333,41.5,1972.2916670000002,6.19,662.3920964,18.69065934,35.69690671,17.91516168
1972.05,107.7,3.07,5.91667,41.6,1972.375,6.13,654.1189272999999,18.64572987,35.93505881,17.6626462
1972.06,108.0,3.07,5.97,41.7,1972.4583329999998,6.11,654.3679856000001,18.60101589,36.17200809,17.64085732
1972.07,107.2,3.07333,6.026669999999999,41.9,1972.5416670000002,6.11,646.4204772999999,18.53230826,36.34107181,17.39869003
1972.08,111.0,3.07667,6.08333,42.0,1972.625,6.21,667.7409821,18.508276100000003,36.59539413,17.94340469
1972.09,109.4,3.08,6.14,42.1,1972.7083329999998,6.55,656.5526662999999,18.484298100000004,36.84856829,17.61385455
1972.1,109.6,3.10333,6.2333300000000005,42.3,1972.7916670000002,6.48,654.6430024,18.53625245,37.23180535,17.53318385
1972.11,115.1,3.1266700000000003,6.32667,42.4,1972.875,6.28,685.8731633,18.63161636,37.70020127,18.33889471
1972.12,117.5,3.15,6.42,42.5,1972.9583329999998,6.36,698.5271324,18.72647206,38.16633353,18.64571944
1973.01,118.4,3.15667,6.54667,42.6,1973.0416670000002,6.46,702.2252582,18.72207268,38.82801547,18.71253047
1973.02,114.2,3.1633299999999998,6.67333,42.9,1973.125,6.64,672.5787703999999,18.63037305,39.30245259,17.8898896
1973.03,112.4,3.17,6.8,43.3,1973.2083329999998,6.71,655.8624365000001,18.49718793,39.67851039,17.41214206
1973.04,110.3,3.18667,6.9433300000000004,43.6,1973.2916670000002,6.67,639.1802781,18.46651511,40.23607979,16.93574007
1973.05,107.2,3.20333,7.08667,43.9,1973.375,6.85,616.9707973,18.43620396,40.78608619,16.31433876
1973.06,104.8,3.22,7.23,44.2,1973.4583329999998,6.9,599.0641855,18.40636143,41.32856929,15.80832305
1973.07,105.8,3.23667,7.38333,44.3,1973.5416670000002,7.13,603.415254,18.45988705,42.10977266,15.88951857
1973.08,103.8,3.25333,7.53667,45.1,1973.625,7.4,581.5072782999999,18.22577142,42.22185413,15.27850109
1973.09,105.6,3.27,7.69,45.2,1973.7083329999998,7.09,590.2823893999999,18.27863081,42.98552627,15.475308600000002
1973.1,109.8,3.3066699999999996,7.84667,45.6,1973.7916670000002,6.79,608.3756743,18.32147169,43.47653144,15.91351631
1973.11,102.0,3.3433300000000004,8.00333,45.9,1973.875,6.73,561.4638888999999,18.40352023,44.05471359,14.65184516
