,goldman_Energy,goldman_Materials,goldman_Industrials,goldman_Consumer Discretionary,goldman_Consumer Staples,goldman_Health Care,goldman_Financials,goldman_Information Technology,goldman_Telecom Services,goldman_Utilities
1974,2.2,5.2,-6.4,-7.8,3.5,8.3,2.4,-9.1,19.4,1.6
1975,-13.2,9.1,-0.7,32.3,-2.7,-26.7,6.7,-3.5,-11.7,15.9
1976,11.2,-0.8,9,-5.9,-11,-21.9,11,1.5,11.2,10.3
1977,5.3,-15.7,3.8,-7.7,3.3,-1.7,-3.5,2.5,9.6,17.4
1978,5.2,-5.3,3.3,-6.2,-1.1,2.6,-0.8,7.9,-0.5,-11.9
1979,26.9,14,2,-9.3,-14,5,-0.1,-13,-18.9,-3.9
1980,42,-4.6,7.8,-14.4,-17.1,-1.2,-15,-15.1,-29,-15.5
1981,-18.7,-3.8,-7.3,11,22.4,8.3,15.4,-10.5,39.6,13.8
1982,-33.8,-12,0.8,27,16,0.4,3,32.6,-7.4,7.5
1983,3.3,6.6,10.4,-0.5,-3.6,-14.9,-4.1,4.9,-10.8,-3
1984,1.8,-13.3,-7,-2.5,8.5,0.2,4.4,-7.2,14.3,20.5
1985,-13.2,-0.9,-1.7,0.3,11.7,11.2,9.2,-8,7,-3.6
1986,-1.7,7.5,-1.4,1.8,15.1,11.6,-7.9,-25,5.7,7.5
1987,3.5,17.1,-2.6,-3.8,6.8,1.4,-21.9,8.9,-0.1,-12.6
1988,4.8,-6.4,-4.2,8.2,3.2,-3.6,0.7,-19,4.7,-1.5
1989,8.7,-9.2,-4.8,-10.3,16.6,11.2,1.7,-37.6,29.9,6.2
1990,6.7,-8.5,-3.4,-10.9,20.9,17.3,-18.3,5.4,-12.1,2.6
1991,25.2,-5.5,-1,-1.6,17.8,21.6,19.4,-18,-16.4,-6.5
1992,5.3,2.9,2,12.1,-0.8,-23.2,15.8,-4.2,8.8,0.9
1993,2.7,4.5,9.6,10.6,-16.7,-15.9,1.1,9.7,4.9,3.5
1994,1.3,4,-4.1,-8.4,4.5,12,-4.6,18.5,-5.8,-12.8
1995,-7.2,-20.1,2.2,-15.4,-0.7,21,16.2,1,3.6,-6.1
1996,2.8,-9.5,1.9,-9.1,1.6,-0.8,13.3,19.3,-22.2,-18.8
1997,-8.6,-25.4,-5.7,-3.8,3.5,7.9,16.2,-5.3,7.3,-8.4
1998,-26.1,-37.1,-19.1,4.5,-5.7,12.8,-19.5,48.5,23,-14.2
1999,-6,9,-2,-0.1,-22.7,-30.4,-17.3,56.4,-1.4,-30.8
2000,29.1,-8.8,13,-15.2,14.7,47.3,35,-29.4,-28.9,67.5
2001,1,15.3,4.5,16.5,8.7,-0.2,3,-13,-0.4,-20.2
2002,5.9,14.6,-3.7,-3.9,15.5,2.9,8,-14.7,-11.7,0.7
2003,-2.5,9.7,3.7,6.8,-12.8,-13.6,3.5,18.2,-21.7,-4.5
2004,20.4,2.8,7.9,0.2,-2.5,-8.9,-0.5,-6.3,8.4,9.5
2005,26.5,-0.2,-2.9,-10,-1.4,1.1,1.5,-5.1,-9.3,9.7
2006,8.5,3,-2.3,2.8,-2.2,-8.1,4,-7.7,21.3,6.1
2007,28.9,16.4,6.3,-18.4,7.7,1.7,-24.1,11.5,6,12.5
2008,1.4,-8.6,-2.9,2.9,23,13.6,-18.3,-6.7,6,7.3
2009,-12.4,21.9,-5.2,15.9,-12.7,-7.3,-10.4,35.6,-18.1,-14.9
2010,5.4,7.2,11.5,12.8,-0.8,-12.3,-2.8,-4.9,4,-9.5
2011,2.6,-11.9,-2.7,4,11.9,10.6,-19.2,0.3,4.2,17.9
2012,-11.4,-1,-0.7,7.9,-5.2,1.9,12.8,-1.2,2.3,-14.7
