,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities
1974,-24.41741214,-21.41741214,-33.01741214,-34.41741214,-23.11741214,-18.31741214,-24.21741214,-35.71741214,-7.217412141,-25.01741214
1975,23.78083067,46.08083067,36.28083067,69.28083067,34.28083067,10.28083067,43.68083067,33.48083067,25.28083067,52.88083067
1976,34.90207668,22.90207668,32.70207668,17.80207668,12.70207668,1.802076677,34.70207668,25.20207668,34.90207668,34.00207668
1977,-2.647284345,-23.64728435,-4.147284345,-15.64728435,-4.647284345,-9.647284345,-11.44728435,-5.447284345,1.652715655,9.452715655
1978,11.1,0.6,9.2,-0.3,4.8,8.5,5.1,13.8,5.4,-6
1979,44.9,32,20,8.7,4,23,17.9,5,-0.9,14.1
1980,73.9,27.3,39.7,17.5,14.8,30.7,16.9,16.8,2.9,16.4
1981,-23.9,-9,-12.5,5.8,17.2,3.1,10.2,-15.7,34.4,8.6
1982,-12.9,8.9,21.7,47.9,36.9,21.3,23.9,53.5,13.5,28.4
1983,24.6,27.9,31.7,20.8,17.7,6.4,17.2,26.2,10.5,18.3
1984,8.01,-7.09,-0.79,3.71,14.71,6.41,10.61,-0.99,20.51,26.71
1985,18.03,30.33,29.53,31.53,42.93,42.43,40.43,23.23,38.23,27.63
1986,16.36,25.56,16.66,19.86,33.16,29.66,10.16,-6.94,23.76,25.56
1987,8.21,21.81,2.11,0.91,11.51,6.11,-17.19,13.61,4.61,-7.89
1988,21.02,9.82,12.02,24.42,19.42,12.62,16.92,-2.78,20.92,14.72
1989,40.06,22.16,26.56,21.06,47.96,42.56,33.06,-6.24,61.26,37.56
1990,3.38,-11.82,-6.72,-14.22,17.58,13.98,-21.62,2.08,-15.42,-0.72
1991,55.42,24.72,29.22,28.62,48.02,51.82,49.62,12.22,13.82,23.72
1992,12.72,10.32,9.42,19.52,6.62,-15.78,23.22,3.22,16.22,8.32
1993,12.59,14.39,19.49,20.49,-6.81,-6.01,10.99,19.59,14.79,13.39
1994,2.48,5.18,-2.92,-7.22,5.68,13.18,-3.42,19.68,-4.62,-11.62
1995,30.25,17.35,39.65,22.05,36.75,58.45,53.65,38.45,41.05,31.35
1996,25.68,13.38,24.78,13.78,24.48,22.08,36.18,42.18,0.68,4.08
1997,24.59,7.79,27.49,29.39,36.69,41.09,49.39,27.89,40.49,24.79
1998,2.52,-8.48,9.52,33.12,22.92,41.42,9.12,77.12,51.62,14.42
1999,15.07,30.07,19.07,20.97,-1.63,-9.33,3.77,77.47,19.67,-9.73
2000,20.04,-17.86,3.94,-24.26,5.64,38.24,25.94,-38.46,-37.96,58.44
2001,-11.02,3.28,-7.52,4.48,-3.32,-12.22,-9.02,-25.02,-12.42,-32.22
2002,-16.25,-7.55,-25.85,-26.05,-6.65,-19.25,-14.15,-36.85,-33.85,-21.45
2003,26,38.2,32.2,35.3,15.7,14.9,32,46.7,6.8,24
2004,31.14,13.54,18.64,10.94,8.24,1.84,10.24,4.44,19.14,20.24
2005,31.27,4.57,1.87,-5.23,3.37,5.87,6.27,-0.33,-4.53,14.47
2006,24.14,18.64,13.34,18.44,13.44,7.54,19.64,7.94,36.94,21.74
2007,34.29,21.79,11.69,-13.01,13.09,7.09,-18.71,16.89,11.39,17.89
2008,-35.62,-45.62,-39.92,-34.12,-14.02,-23.42,-55.32,-43.72,-31.02,-29.72
2009,14.09,48.39,21.29,42.39,13.79,19.19,16.09,62.09,8.39,11.59
2010,20.31,22.11,26.41,27.71,14.11,2.61,12.11,10.01,18.91,5.41
2011,4.57,-9.93,-0.73,5.97,13.87,12.57,-17.23,2.27,6.17,19.87
2012,4.42,14.82,15.12,23.72,10.62,17.72,28.62,14.62,18.12,1.12
2013,26.16,25.83,40.44,42.72,26.27,41.24,35.37,25.97,24.32,13
2014,-8.6,7.31,10.45,9.49,15.86,25.18,15.03,17.75,3.98,28.59
2015,-21.46,-8.58,-4.25,9.94,6.83,6.86,-1.6,5.63,2.72,-4.86
