,Argentina,Australia,Austria,Belgium,Chile,Germany,Denmark,East Asia & Pacific,Spain,France,"Hong Kong SAR, China",Indonesia,India,Israel,Japan,Mexico,New Zealand,Sweden,Finland
1976-12-31,,,15.39,4.44,,3.89,17.07,,-27.71,-22.38,44.44,,,,27.58,,70.21,,18.18
1977-12-31,,,-0.67,9.48,,21.91,-0.42,,,1.93,-10.01,,,,-88.1,,,,192.34
1978-12-31,115.66,,1071.15,21.53,,28.56,7.42,,,62.49,22.82,,,,58.84,,,,34.52
1979-12-31,140.61,,-88.08,9.81,,-5.13,1.08,683.58,-3.07,21.75,71.84,,,,745.44,,62.2,,4.41
1980-12-31,-8.45,53.21,-5.97,-26.95,,-9.68,6.81,37.06,-4.74,-1.15,75.57,,,89.34,31.16,-28.98,8.52,,20.92
1981-12-31,-64.7,-8.86,-19.04,-16.58,,-12.73,11.36,11.75,0.68,-30.19,-0.08,,29.0,44.96,10.21,10.33,-22.25,,33.36
1982-12-31,-30.32,-23.64,-4.67,2.34,,10.18,-10.16,-9.72,-33.04,-22.25,-44.36,,34.0,128.36,-0.13,4.34,70.3,,8.02
1983-12-31,42.49,30.13,1.22,25.85,,20.18,90.38,29.65,-2.75,28.65,-9.82,,26.0,-67.98,30.77,-0.47,76.16,,62.64
1984-12-31,-15.55,-7.58,-2.78,14.5,,-5.43,-28.12,14.16,21.84,7.65,20.76,,-3.0,20.09,18.06,41.84,20.79,,-15.11
1985-12-31,73.9,18.94,209.73,69.11,,127.5,98.95,44.71,47.44,92.64,46.47,,16.0,24.67,47.15,18.62,6.83,,45.27
1986-12-31,-21.85,100.84,44.65,78.89,,44.53,15.01,85.11,150.78,94.12,55.65,,44.0,29.54,88.1,88.65,41.18,152.85,69.87
1987-12-31,-10.86,29.38,19.26,11.55,,-15.22,17.16,49.16,45.3,1.33,0.43,,62.0,22.51,52.85,137.24,63.95,-29.54,11.08
1988-12-31,79.99,-10.82,26.35,41.15,,14.83,32.17,37.63,27.87,43.27,37.6,,-11.0,-55.24,38.98,185.62,67.96,-14.09,41.63
1989-12-31,25.28,1.97,141.89,27.37,,45.57,49.62,19.51,34.92,51.71,4.24,789.33,-22.0,51.82,12.44,48.91,78.16,0.29,19.63
1990-12-31,13.05,-23.1,8.48,-12.59,,-2.7,-2.89,-30.73,-9.13,-7.83,7.5,259.11,79.0,0.55,-31.26,-21.49,51.59,-34.58,-22.83
1991-12-31,415.58,34.17,-7.93,8.65,,4.31,14.67,6.06,32.63,14.92,46.16,-15.59,9.0,72.77,2.63,-12.54,150.33,62.04,5.48
1992-12-31,-0.09,-6.68,-18.5,-9.86,14.64,-11.31,-27.47,-18.32,-21.37,-8.61,41.11,75.95,50.0,107.75,-24.98,11.61,35.02,7.18,-19.55
1993-12-31,136.56,51.28,32.85,21.64,38.99,34.38,22.91,45.28,2.1,39.29,123.88,175.0,267.0,71.19,28.89,29.65,44.77,67.19,28.73
1994-12-31,-16.32,7.04,9.84,7.89,51.78,13.02,17.7,15.32,30.6,-0.76,-30.01,42.42,-47.0,-35.62,23.6,37.39,-35.16,5.84,18.65
1995-12-31,2.49,12.04,6.24,20.56,7.17,15.66,19.61,1.59,22.96,10.48,12.69,41.67,66.0,11.54,-1.31,-5.12,-30.37,15.69,44.68
1996-12-31,18.28,27.43,4.24,17.14,-9.54,15.14,26.43,-1.68,26.48,17.2,47.91,36.66,-14.0,-2.02,-14.82,-23.54,17.73,22.05,39.31
1997-12-31,32.58,-5.35,15.37,15.26,9.21,24.14,31.93,-30.48,20.48,15.1,-7.99,-68.08,3.0,29.52,-30.94,-69.9,46.67,-20.32,10.12
1998-12-31,-23.49,11.21,-92.94,78.22,-28.01,32.6,5.44,10.21,38.49,46.09,-16.88,-24.0,-0.2,-11.75,16.98,173.61,-41.41,-18.77,5.29
1999-12-31,23.19,30.07,1170.03,-24.55,31.55,30.88,-1.44,76.51,7.15,52.55,77.01,190.09,16.0,59.63,82.63,167.14,67.9,14.39,33.93
2000-12-31,-17.92,-12.86,-9.35,-0.9,-11.47,-11.31,14.74,-26.3,17.02,-3.75,2.51,-58.13,-4.0,2.27,-29.14,-44.06,-18.72,-34.35,-12.04
